id,value,feed_id,created_at,lat,lon,ele
0F39759XDVX4B1BWQNB0K03KJX,28.41,2301481,2022-08-15 12:16:15 UTC,,,
0F3975WP4FAFYE1ARJJ1MQRJFA,28.41,2301481,2022-08-15 12:17:17 UTC,,,
0F3976EFJSNPBJQNFWGGWV9PKV,28.39,2301481,2022-08-15 12:18:15 UTC,,,
0F39770XSQNSATE1RGWMMMPK81,28.36,2301481,2022-08-15 12:19:15 UTC,,,
0F3977K6JZDJ5BP17S3GKCAK0B,28.36,2301481,2022-08-15 12:20:15 UTC,,,
0F39785FPEXHSVECMBGQTTG2AG,28.38,2301481,2022-08-15 12:21:15 UTC,,,
0F3978QRGR36VEVHK64SQKZ2TN,28.41,2301481,2022-08-15 12:22:15 UTC,,,
0F3979AGM3BMMES0ZW5482R2FW,28.39,2301481,2022-08-15 12:23:17 UTC,,,
0F3979WFQSX4H2Q5JW2AYT7WWF,28.35,2301481,2022-08-15 12:24:15 UTC,,,
0F397AERQX11YNHNAC2FVW2KFP,28.33,2301481,2022-08-15 12:25:15 UTC,,,
0F397B11QJNDY4N7TPGT6Q9PHZ,28.31,2301481,2022-08-15 12:26:15 UTC,,,
0F397BKBCZ85KMMMPA71VK24Y3,28.31,2301481,2022-08-15 12:27:15 UTC,,,
0F397C68ENNTC1JJMFNWVS56D0,28.33,2301481,2022-08-15 12:28:17 UTC,,,
0F397CR2M5QQTG5CM7STSG10V6,28.33,2301481,2022-08-15 12:29:16 UTC,,,
0F397DABJ30PR61GBYQREBENY5,28.33,2301481,2022-08-15 12:30:16 UTC,,,
0F397DWMAQS1WP7HZB87VTS3WN,28.36,2301481,2022-08-15 12:31:15 UTC,,,
0F397EEX5HTW9QNYCPMMYDG5MM,28.34,2301481,2022-08-15 12:32:15 UTC,,,
0F397F1TFXQ9Q6CWPCSE276FDE,28.36,2301481,2022-08-15 12:33:17 UTC,,,
0F397FKMBS7R9H0G00R4DMP89P,28.36,2301481,2022-08-15 12:34:16 UTC,,,
